URL,Ingredients,Instructions
https://myfoodstory.com/festive-chocolate-rice-kheer-pudding-recipe/,"[' 1 litre   Full Fat Milk', ' ½ cup   Basmati Rice', ' 1 tablespoon   Vanilla extract', ' ½ cup   Sugar', ' 150 grams   Dark chocolate chopped coarsely', '   Whipped Cream Roasted Halzenuts and other nuts for topping']","['Wash the basmati rice well with water a few times. Soak it in 2 cups of water and set aside.', 'In a heavy bottomed saucepan, bring milk to a gentle simmer, making sure not to scorch the bottom. Drain the water from the rice, and add the rice to the pan.', ""Keep stirring occasionally to ensure the rice doesn't stick to the bottom or scorches it. Once the rice is cooked through, and the kheer has thickened up, about 40-45 minutes, add vanilla extract and sugar. Mix well and simmer for another 2-3 minutes."", 'Switch off the flame and mix in the chocolate. Stir well till the chocolate has melted completely. Let this cool down slightly before serving. Top with whipped cream or vanilla ice cream and your favourite roasted nuts.']"
https://myfoodstory.com/caramel-custard/,"[' ⅔ Cup   Sugar 150 Grams', ' ¼ Cup   Water', ' ½ Teaspoon   Lemon Juice or Vinegar', ' 220 Millilitres    Milk', ' ½ Inch   Piece Cinnamon', ' A  Pinch    Grated Nutmeg', ' 2   Eggs', ' ¼ Cup   Sugar 50 Grams', ' ½ Teaspoon   Vanilla Extract']","['Add sugar, water and vinegar to a pan and allow it to heat up on a medium flame. Stiry to ensure that the sugar dissolves.', 'Once the sugar dissolves, do not stir this will cause the sugar to crystallise. Allow the mixture to bubble and heat up for 3-4 minutes or until the caramel is a amber or golden colour.', 'Once the desired caramel colour is achieved, pour it into 5 ramekin moulds while still hot. Be careful as this can cause severe burns if it comes in contact with your skin.', 'Keep the moulds aside and allow the caramel to harden.']"
https://myfoodstory.com/vegetable-korma-curry-recipe/,"[' 1 cup   Onions chopped', ' 1   Green Chilli', ' 1 ½ inch   Ginger', ' 3 cloves   Garlic', ' ¼ cup   Cashew Nuts', ' ½ cup   Water', ' 1 cup   Potato diced', ' 1 cup   Carrot diced', ' ½ cup   Green Peas fresh or frozen', ' 1 cup   Cauliflower Florets', ' ½ cup   French Beans cut into 1 ½ inch pieces', ' 2 ½ cups   Water', ' 2 tablespoon   Ghee', ' 2 tablespoon   Curry Powder', ' ½ teaspoon   Turmeric Powder', ' ½ teaspoon   Garam Masala', ' 2 teaspoon   Kashmiri Chili Powder', ' ½ teaspoon   Cinnamon Powder', ' ¼ teaspoon   Cardamom Powder', ' 1 ½ teaspoon   Salt', ' 1 cup   Tomatoes chopped', ' 3 tablespoon   Fresh Cream', '   Fresh Coriander for garnish']","['Boil the ingredients for the paste in ½ cup of water, cool and then make a paste', 'Boil the potato in 2 ½ cups of water for 3 minutes in a medium sized pot, add the carrots and green peas to the same pot with the potato and boil for another 3 minutes Next add the cauliflower and the beans to this same pot and boil for another 3 minutes. Drain the vegetables and set aside.', 'Heat 2 tablespoon ghee in a large skillet or pan. Add the prepared paste and all the spices (curry powder, turmeric powder, garam masala, chilli powder, cinnamon powder, cardamom powder). Cook stirring occasionally, for 3-4 minutes or until the ghee separates. You may add a couple of tablespoons of water if required to prevent the masala from sticking to the bottom of the pan.', 'Add the vegetables, the tomatoes and 1 cup of water and cook covered for another 3-4 minutes. Take off the heat and stir in the cream. Garnish with the chopped coriander and serve hot with steamed rice or lachha parathas.']"
https://myfoodstory.com/detox-cabbage-soup-recipe/,"[' 1 tablespoon   Olive oil', ' 1 teaspoon   Garlic finely chopped', ' 1 teaspoon    Ginger finely chopped', ' ½ cup    Onion chopped', ' ½ cup   Celery diced', ' ¼ cup   Carrots chopped', ' 1.5 cups   Cabbage chopped', ' ¼ cup   Capsicum diced', ' 1 cup   Tomatoes diced', ' 1 ½ teaspoon   Salt', ' 6 cups   Vegetable Stock', ' 1 teaspoon   Dried Oregano', ' 8-10   Fresh Basil leaves roughly torn', ' 1 teaspoon   Red Chilli flakes', ' 1 teaspoon   Pepper', '   Parsley  chopped (for garnish)']","['Stovetop Version', 'Heat oil in a large saucepan and add ginger and garlic, fry for ½ a minute. Add the onions and fry for another ½ a minute. Add the celery, the carrots, cabbage and capsicum and cook for 3-4 minutes.', 'Add the tomatoes, salt and stock, bring to a boil and let simmer on low for about 20 minutes.', 'Add the herbs, chilli flakes and pepper. Mix well. Serve hot, garnished with chopped parsley.', 'Instant Pot Version', 'Turn on saute mode on the instant pot and heat oil. Add ginger and garlic, fry for ½ a minute. Add the onions and fry for another ½ a minute. Add the celery, carrots, cabbage, capsicum, tomatoes, salt and stock. Lock the lid in place and shift the valve to sealing mode. Set high pressure for 2 minutes. Let pressure release naturally for 10 minutes and then release pressure manually.', 'Stir in the herbs, chilli flakes and pepper. Serve hot, garnished with chopped parsley.']"
https://myfoodstory.com/indian-raita-recipe/,"[' 3 cups   Thick plain Yogurt Note 1', ' 1 teaspoon   Salt Note 2', ' 1 teaspoon   Cumin Powder', ' 1   Green Chilli finely chopped (or Serrano Pepper optional)', ' ½ teaspoon   Red Chilli Powder or cayenne pepper', ' 1   Onion finely chopped (small)', ' 2   Persian Cucumbers finely chopped', ' 1   Tomato finely chopped (large )', ' 1   Green Bell Pepper finely chopped', ' ½ cup   Loosely packed Cilantro finely chopped (Note 3)']","['Whisk together yogurt, salt, cumin powder, green chilli and chilli powder till smooth. Add all the vegetables and mix well.', 'Refrigerate for half an hour before serving. You will notice after refrigeration that the veggies will leave a little water. Just give it a quick mix and you are ready to go.']"
https://myfoodstory.com/chicken-kori-rotti-mangalorean-chicken-curry-recipe/,"[' 1 kg   Chicken Curry Cut', ' ½  teaspoon   Turmeric Powder', ' ½  teaspoon   Salt', ' 2 tablespoons   Ghee', ' 2    Onion Large , sliced', ' ¾ cup   Coconut Grated', ' 1 piece   Tamarind Lime sized ball', ' ½ inch   Turmeric whole (See Note 1)', ' 1 tablespoon   Coriander Seeds Whole Dhaniya seeds', ' 1 teaspoon   Peppercorns Kali Mirch', ' ½ teaspoon   Fenugreek Methi seeds', ' 1 teaspoon   Cumin Jeera seeds', ' 1 pod   Garlic  peeled (See Note 2)', ' 8   Salem Gundu Dry Red Chillies small round red (spicy variety)', ' 12   Kashmiri Dry Red Chillies wrinkeld red (more colour, less spice)', ' 1 - 1 ½  cups   Water', ' ¾ cup   Coconut Milk thin (See Note 3)', ' ½ cup   Coconut Milk thick', '   Salt to taste', '   Curry Leaves optional']","['Start the prep with the chicken marinade. Combine chicken pieces, turmeric powder and salt. Keep aside and allow to marinate.']"
https://myfoodstory.com/mocha-lava-cake/,"[' 125 Grams   Milk Chocolate chopped', ' 45 Grams   Dark Chocolate chopped', ' ½ Cup   Butter 115 Grams', ' 1 ½ Tablespoons   Instant Coffee Powder', ' ¼ Cup   All-Purpose Flour 30 Grams', ' ½ Cup   Caster Sugar 60 Grams', ' ⅛ Teaspoon   Salt', ' 2   Eggs', ' 2   Egg Yolks', ' 1-2 Tablespoons   Cocoa Powder', ' 1-2 Tablespoons   Butter for brushing']","['Preheat the oven to 200C/392F', 'Grease ramekin molds with butter. Generously dust with cocoa powder on the base and sides. Turn the mould upside down and tap to remove any excess.', 'Add milk chocolate, dark chocolate, butter and coffee to a microwave safe bowl. Microwave at 30 second intervals, stirring frequently in between, for 2-3 minutes or until fully melted. Set aside.', 'Whisk together eggs, egg yolks, sugar and vanilla extract until light and frothy, about 2 minutes.', 'Sieve all purpose flour and salt together into the egg mixture and whisk it in till all the flour is combined.', 'Add the egg mixture to the chocolate mixture and fold gently to combine', 'Pour batter into greased and dusted ramekin moulds and fill it up until ¾th capacity (approx 100 grams per mould)', 'Bake at 200C for 14-16 minutes. Do not use a toothpick or skewer to check if it has baked as the centre will be gooey. The top surface should be firm to touch and should not stick to your finger.', 'Remove from the oven once baked and allow to cool for 1-2 minutes. Run a knife along the sides of the mould and invert onto a plate. Tap the top of the mould a few times to release the cake and lift the mould carefully. Serve hot!']"
https://myfoodstory.com/easy-bhindi-masala-recipe/,"[' 400 grams   Bhindi / Lady Finger / Okra', ' 3 tablespoon   Mustard Oil', ' 1 teaspoon   Ginger finely chopped', ' 1 teaspoon   Garlic finely chopped', ' 1 teaspoon   Jeera / Cumin seeds', ' 2   Red Chillies whole', ' 1-2   Green Chillies diced (optional)', ' 1 cup   Onions diced', ' ½ cup   Tomatoes chopped', ' 2 tablespoons   Coriander Powder', ' ½ teaspoon   Kashmiri Chilli Powder / Paprika', ' ½ teaspoon   Turmeric Powder', ' 1 ½ teaspoon   Amchoor / Dry Mango Powder', ' 1 ½ teaspoons   Salt', ' 2 tablespoon   Coriander / Cilantro freshly chopped']","['Wash and wipe the bhindi well. This ensures that the bhindi is not slimy when its cooked. Cut each bhindi diagonally into 1 inch pieces.', 'Heat oil in a frying pan, add ginger and garlic. Sauté for 30 seconds and add cumin seeds, red chillies and green chillies. Cook them for another 30 seconds and add the onions.', 'Stir fry the onions on high heat and then add the bhindi. Cook the bhindi, while stirring occasionally on a medium flame for 3-4 minutes.', 'Next add all the spices and tomatoes and stir fry till the bhindi is cooked and the tomatoes turn just tender. Serve hot, garnished with some fresh chopped coriander. This goes really well with dal and rice or chapatis.']"
https://myfoodstory.com/stuffed-brinjal-curry/,"[' ¼ Cup   Fried Chana Dal split chickpea lentils', ' ¼ Cup   Peanuts groundnuts', ' 8   Byadgi Dry Red Chilli', ' 8   Guntur Dry Red Chilli', ' 12 Cloves   Garlic', ' 1 ½ Teaspoon   Cumin Seeds', ' 1 Tablespoon   Coriander Seeds', ' ½ Tablespoon   Sesame Seeds', ' 17 Grams   Tamarind lemon sized, approx 1 ½ Tablespoon/ sub with 1 tablespoon tamarind paste', ' 27 Grams   Jaggery approx 2-3 Tablespoons/ sub with brown sugar', ' 1 ½ - 2 Teaspoon   Salt', ' ⅓ Cup   grated Dry Coconut kopra', ' ¾ Cup   Water approx', ' ¼ Cup   Oil sesame or groundnut', ' 1 Teaspoon   Mustard Seeds', ' 8-10   small purple striped Brinjal', ' 1   Large Onion sliced, approx 1 Cup', ' 1 ½ cup   Water divided']","[""Add all the paste ingredients except the water to the chutney jar of a mixer. Grind into a fine paste. Add water little by little as you grind it - just enough for you to get a smooth paste. If it becomes too thin, it'll be difficult to stuff the brinjal with it.""]"
https://myfoodstory.com/shaam-savera-kofta/,"[' 6 Medium    Tomatoes  Roughly Chopped', ' 5   Cashew Nuts', ' 3   Almonds', ' ¾ Inch   Ginger', ' 1 cup   Water', ' 2 Tablespoon   Butter', ' 2 Teaspoon   Kashmiri Chilli Powder', ' 1 pinch   Turmeric', ' ½ Teaspoon   Coriander Powder', ' ½ teaspoon   No Onion Garlic Ketchup', ' ½ Teaspoon   Sugar', ' ½ Teaspoon   Garam Masala', ' 2 Teaspoons   Kasuri Methi', ' 1 Teaspoon   Salt', ' 2 Tablespoons   Cream', ' 120 Grams   Paneer grated', ' 1 Tablespoon   Fresh Cream', ' ¼ Teaspoon   Cardamom Powder', ' ⅛ Teaspoon   Salt', ' ⅛ Teaspoon   Black Pepper Powder', ' 1 Tablespoon   Oil', ' 1 Teaspoon   Cumin Seeds', ' 1-2 Teaspoons   Green Chillies Paste', ' 400 Grams   Spinach Leaves Only, Blanched (weight is before blanching)', ' 2-3 Teaspoons   Water', ' ¼ Teaspoon   Cardamom Powder', ' ⅛ Teaspoon   Salt', ' 2 Tablespoons   Gram Flour', ' 2 Tablespoons   Corn Flour Plus Extra For Coating']","['Add tomatoes, cashew, almond, ginger and 1 cup water to a pressure cooker. Cover the lid and pressure cook on high for the first whistle. Then reduce the flame to low and cook for another 5-6 minutes.', 'Once cooked, allow the pressure to release naturally. Remove the lid and allow the mix to cool down completely.', 'Transfer to a mixer or food processor and grind into a smooth paste. Ensure there are no lumps. Set aside.']"
